ProductID,Product_name,Month,Units_sold,Year
P173,Product 173,2023-01-01,94,2023
P174,Product 174,2023-01-01,141,2023
P175,Product 175,2023-01-01,71,2023
P176,Product 176,2023-01-01,61,2023
P177,Product 177,2023-01-01,266,2023
P178,Product 178,2023-01-01,66,2023
P179,Product 179,2023-01-01,41,2023
P180,Product 180,2023-01-01,38,2023
P181,Product 181,2023-01-01,106,2023
P182,Product 182,2023-01-01,68,2023
P183,Product 183,2023-01-01,47,2023
P184,Product 184,2023-01-01,94,2023
P185,Product 185,2023-01-01,71,2023
P186,Product 186,2023-01-01,30,2023
P187,Product 187,2023-01-01,90,2023
P188,Product 188,2023-01-01,123,2023
P189,Product 189,2023-01-01,324,2023
P190,Product 190,2023-01-01,47,2023
P191,Product 191,2023-01-01,77,2023
P192,Product 192,2023-01-01,152,2023
P193,Product 193,2023-01-01,91,2023
P194,Product 194,2023-01-01,81,2023
P195,Product 195,2023-01-01,52,2023
P196,Product 196,2023-01-01,33,2023
P197,Product 197,2023-01-01,345,2023
P198,Product 198,2023-01-01,34,2023
P199,Product 199,2023-01-01,103,2023
P200,Product 200,2023-01-01,46,2023
P201,Product 201,2023-01-01,70,2023
P202,Product 202,2023-01-01,80,2023
P203,Product 203,2023-01-01,151,2023
P204,Product 204,2023-01-01,78,2023
P205,Product 205,2023-01-01,200,2023
P206,Product 206,2023-01-01,35,2023
P207,Product 207,2023-01-01,102,2023
P208,Product 208,2023-01-01,79,2023
P209,Product 209,2023-01-01,71,2023
P210,Product 210,2023-01-01,120,2023
P211,Product 211,2023-01-01,88,2023
P212,Product 212,2023-01-01,30,2023
P213,Product 213,2023-01-01,100,2023
P214,Product 214,2023-01-01,77,2023
P215,Product 215,2023-01-01,54,2023
P216,Product 216,2023-01-01,99,2023
P217,Product 217,2023-01-01,38,2023
P218,Product 218,2023-01-01,71,2023
P219,Product 219,2023-01-01,77,2023
P220,Product 220,2023-01-01,120,2023
P221,Product 221,2023-01-01,118,2023
P222,Product 222,2023-01-01,68,2023
P223,Product 223,2023-01-01,41,2023
P224,Product 224,2023-01-01,51,2023
P225,Product 225,2023-01-01,89,2023
P226,Product 226,2023-01-01,48,2023
P227,Product 227,2023-01-01,58,2023
P228,Product 228,2023-01-01,218,2023
P229,Product 229,2023-01-01,55,2023
P230,Product 230,2023-01-01,47,2023
P231,Product 231,2023-01-01,23,2023
P232,Product 232,2023-01-01,56,2023
P233,Product 233,2023-01-01,30,2023
P234,Product 234,2023-01-01,37,2023
P235,Product 235,2023-01-01,168,2023
P236,Product 236,2023-01-01,27,2023
P237,Product 237,2023-01-01,90,2023
P238,Product 238,2023-01-01,141,2023
P239,Product 239,2023-01-01,142,2023
P240,Product 240,2023-01-01,33,2023
P241,Product 241,2023-01-01,44,2023
P242,Product 242,2023-01-01,205,2023
P243,Product 243,2023-01-01,86,2023
P244,Product 244,2023-01-01,46,2023
P245,Product 245,2023-01-01,40,2023
P246,Product 246,2023-01-01,66,2023
P247,Product 247,2023-01-01,56,2023
P248,Product 248,2023-01-01,124,2023
P249,Product 249,2023-01-01,124,2023
P250,Product 250,2023-01-01,30,2023
P001,Product 001,2023-02-01,47,2023
P002,Product 002,2023-02-01,29,2023
P003,Product 003,2023-02-01,62,2023
P004,Product 004,2023-02-01,111,2023
P005,Product 005,2023-02-01,31,2023
P006,Product 006,2023-02-01,35,2023
P007,Product 007,2023-02-01,101,2023
P008,Product 008,2023-02-01,233,2023
P009,Product 009,2023-02-01,89,2023
P010,Product 010,2023-02-01,86,2023
P011,Product 011,2023-02-01,67,2023
P012,Product 012,2023-02-01,70,2023
P013,Product 013,2023-02-01,158,2023
P014,Product 014,2023-02-01,30,2023
P015,Product 015,2023-02-01,122,2023
P016,Product 016,2023-02-01,65,2023
P017,Product 017,2023-02-01,47,2023
P018,Product 018,2023-02-01,34,2023
P019,Product 019,2023-02-01,35,2023
P020,Product 020,2023-02-01,169,2023
P021,Product 021,2023-02-01,51,2023
P022,Product 022,2023-02-01,39,2023
P023,Product 023,2023-02-01,50,2023
P024,Product 024,2023-02-01,49,2023
P025,Product 025,2023-02-01,75,2023
P026,Product 026,2023-02-01,169,2023
P027,Product 027,2023-02-01,33,2023
P028,Product 028,2023-02-01,83,2023
P029,Product 029,2023-02-01,28,2023
P030,Product 030,2023-02-01,150,2023
P031,Product 031,2023-02-01,75,2023
P032,Product 032,2023-02-01,33,2023
P033,Product 033,2023-02-01,94,2023
P034,Product 034,2023-02-01,122,2023
P035,Product 035,2023-02-01,82,2023
P036,Product 036,2023-02-01,32,2023
P037,Product 037,2023-02-01,584,2023
P038,Product 038,2023-02-01,41,2023
P039,Product 039,2023-02-01,181,2023
P040,Product 040,2023-02-01,202,2023
P041,Product 041,2023-02-01,40,2023
P042,Product 042,2023-02-01,24,2023
P043,Product 043,2023-02-01,144,2023
P044,Product 044,2023-02-01,62,2023
P045,Product 045,2023-02-01,52,2023
P046,Product 046,2023-02-01,85,2023
P047,Product 047,2023-02-01,311,2023
P048,Product 048,2023-02-01,140,2023
P049,Product 049,2023-02-01,81,2023
P050,Product 050,2023-02-01,31,2023
P051,Product 051,2023-02-01,40,2023
P052,Product 052,2023-02-01,51,2023
P053,Product 053,2023-02-01,68,2023
P054,Product 054,2023-02-01,65,2023
P055,Product 055,2023-02-01,89,2023
P056,Product 056,2023-02-01,454,2023
P057,Product 057,2023-02-01,79,2023
P058,Product 058,2023-02-01,119,2023
P059,Product 059,2023-02-01,87,2023
P060,Product 060,2023-02-01,140,2023
P061,Product 061,2023-02-01,35,2023
P062,Product 062,2023-02-01,44,2023
P063,Product 063,2023-02-01,117,2023
P064,Product 064,2023-02-01,62,2023
P065,Product 065,2023-02-01,104,2023
P066,Product 066,2023-02-01,126,2023
P067,Product 067,2023-02-01,121,2023
P068,Product 068,2023-02-01,280,2023
P069,Product 069,2023-02-01,90,2023
P070,Product 070,2023-02-01,176,2023
P071,Product 071,2023-02-01,144,2023
P072,Product 072,2023-02-01,149,2023
P073,Product 073,2023-02-01,101,2023
P074,Product 074,2023-02-01,50,2023
P075,Product 075,2023-02-01,47,2023
P076,Product 076,2023-02-01,111,2023
P077,Product 077,2023-02-01,32,2023
P078,Product 078,2023-02-01,72,2023
P079,Product 079,2023-02-01,34,2023
P080,Product 080,2023-02-01,48,2023
P081,Product 081,2023-02-01,43,2023
P082,Product 082,2023-02-01,171,2023
P083,Product 083,2023-02-01,120,2023
P084,Product 084,2023-02-01,84,2023
P085,Product 085,2023-02-01,194,2023
P086,Product 086,2023-02-01,99,2023
P087,Product 087,2023-02-01,228,2023
P088,Product 088,2023-02-01,49,2023
P089,Product 089,2023-02-01,32,2023
P090,Product 090,2023-02-01,46,2023
P091,Product 091,2023-02-01,115,2023
P092,Product 092,2023-02-01,103,2023
P093,Product 093,2023-02-01,35,2023
P094,Product 094,2023-02-01,85,2023
P095,Product 095,2023-02-01,98,2023
P096,Product 096,2023-02-01,59,2023
P097,Product 097,2023-02-01,60,2023
P098,Product 098,2023-02-01,74,2023
P099,Product 099,2023-02-01,356,2023
P100,Product 100,2023-02-01,58,2023
P101,Product 101,2023-02-01,47,2023
P102,Product 102,2023-02-01,268,2023
P103,Product 103,2023-02-01,108,2023
P104,Product 104,2023-02-01,123,2023
P105,Product 105,2023-02-01,36,2023
P106,Product 106,2023-02-01,48,2023
P107,Product 107,2023-02-01,40,2023
P108,Product 108,2023-02-01,39,2023
P109,Product 109,2023-02-01,104,2023
P110,Product 110,2023-02-01,56,2023
P111,Product 111,2023-02-01,135,2023
P112,Product 112,2023-02-01,66,2023
P113,Product 113,2023-02-01,35,2023
P114,Product 114,2023-02-01,69,2023
P115,Product 115,2023-02-01,73,2023
P116,Product 116,2023-02-01,92,2023
P117,Product 117,2023-02-01,79,2023
P118,Product 118,2023-02-01,83,2023
P119,Product 119,2023-02-01,23,2023
P120,Product 120,2023-02-01,55,2023
P121,Product 121,2023-02-01,37,2023
P122,Product 122,2023-02-01,39,2023
P123,Product 123,2023-02-01,37,2023
P124,Product 124,2023-02-01,68,2023
P125,Product 125,2023-02-01,107,2023
P126,Product 126,2023-02-01,48,2023
P127,Product 127,2023-02-01,162,2023
P128,Product 128,2023-02-01,76,2023
P129,Product 129,2023-02-01,76,2023
P130,Product 130,2023-02-01,26,2023
P131,Product 131,2023-02-01,81,2023
P132,Product 132,2023-02-01,77,2023
P133,Product 133,2023-02-01,120,2023
P134,Product 134,2023-02-01,186,2023
P135,Product 135,2023-02-01,153,2023
P136,Product 136,2023-02-01,52,2023
P137,Product 137,2023-02-01,63,2023
P138,Product 138,2023-02-01,281,2023
P139,Product 139,2023-02-01,31,2023
P140,Product 140,2023-02-01,29,2023
P141,Product 141,2023-02-01,50,2023
P142,Product 142,2023-02-01,117,2023
P143,Product 143,2023-02-01,53,2023
P144,Product 144,2023-02-01,180,2023
P145,Product 145,2023-02-01,30,2023
P146,Product 146,2023-02-01,31,2023
P147,Product 147,2023-02-01,62,2023
P148,Product 148,2023-02-01,87,2023
P149,Product 149,2023-02-01,56,2023
P150,Product 150,2023-02-01,61,2023
P151,Product 151,2023-02-01,80,2023
P152,Product 152,2023-02-01,28,2023
P153,Product 153,2023-02-01,136,2023
P154,Product 154,2023-02-01,48,2023
P155,Product 155,2023-02-01,178,2023
P156,Product 156,2023-02-01,67,2023
P157,Product 157,2023-02-01,120,2023
P158,Product 158,2023-02-01,127,2023
P159,Product 159,2023-02-01,67,2023
P160,Product 160,2023-02-01,90,2023
P161,Product 161,2023-02-01,25,2023
P162,Product 162,2023-02-01,72,2023
P163,Product 163,2023-02-01,245,2023
P164,Product 164,2023-02-01,142,2023
P165,Product 165,2023-02-01,42,2023
P166,Product 166,2023-02-01,78,2023
P167,Product 167,2023-02-01,70,2023
P168,Product 168,2023-02-01,140,2023
P169,Product 169,2023-02-01,73,2023
P170,Product 170,2023-02-01,62,2023
P171,Product 171,2023-02-01,141,2023
P172,Product 172,2023-02-01,73,2023
P173,Product 173,2023-02-01,256,2023
P174,Product 174,2023-02-01,202,2023
P175,Product 175,2023-02-01,80,2023
P176,Product 176,2023-02-01,72,2023
P177,Product 177,2023-02-01,80,2023
P178,Product 178,2023-02-01,69,2023
P179,Product 179,2023-02-01,43,2023
P180,Product 180,2023-02-01,30,2023
P181,Product 181,2023-02-01,104,2023
P182,Product 182,2023-02-01,71,2023
P183,Product 183,2023-02-01,40,2023
P184,Product 184,2023-02-01,83,2023
P185,Product 185,2023-02-01,70,2023
P186,Product 186,2023-02-01,32,2023
P187,Product 187,2023-02-01,87,2023
P188,Product 188,2023-02-01,141,2023
P189,Product 189,2023-02-01,389,2023
P190,Product 190,2023-02-01,55,2023
P191,Product 191,2023-02-01,67,2023
P192,Product 192,2023-02-01,157,2023
P193,Product 193,2023-02-01,97,2023
P194,Product 194,2023-02-01,68,2023
P195,Product 195,2023-02-01,53,2023
P196,Product 196,2023-02-01,32,2023
P197,Product 197,2023-02-01,153,2023
P198,Product 198,2023-02-01,39,2023
P199,Product 199,2023-02-01,188,2023
P200,Product 200,2023-02-01,38,2023
P201,Product 201,2023-02-01,88,2023
P202,Product 202,2023-02-01,165,2023
P203,Product 203,2023-02-01,117,2023
P204,Product 204,2023-02-01,89,2023
P205,Product 205,2023-02-01,87,2023
P206,Product 206,2023-02-01,33,2023
P207,Product 207,2023-02-01,49,2023
P208,Product 208,2023-02-01,60,2023
P209,Product 209,2023-02-01,79,2023
P210,Product 210,2023-02-01,142,2023
P211,Product 211,2023-02-01,93,2023
P212,Product 212,2023-02-01,30,2023
P213,Product 213,2023-02-01,96,2023
P214,Product 214,2023-02-01,114,2023
P215,Product 215,2023-02-01,48,2023
P216,Product 216,2023-02-01,135,2023
P217,Product 217,2023-02-01,48,2023
P218,Product 218,2023-02-01,55,2023
P219,Product 219,2023-02-01,51,2023
P220,Product 220,2023-02-01,101,2023
P221,Product 221,2023-02-01,78,2023
P222,Product 222,2023-02-01,82,2023
P223,Product 223,2023-02-01,57,2023
P224,Product 224,2023-02-01,53,2023
P225,Product 225,2023-02-01,65,2023
P226,Product 226,2023-02-01,53,2023
P227,Product 227,2023-02-01,77,2023
P228,Product 228,2023-02-01,235,2023
P229,Product 229,2023-02-01,46,2023
P230,Product 230,2023-02-01,54,2023
P231,Product 231,2023-02-01,34,2023
P232,Product 232,2023-02-01,129,2023
P233,Product 233,2023-02-01,29,2023
P234,Product 234,2023-02-01,41,2023
P235,Product 235,2023-02-01,172,2023
P236,Product 236,2023-02-01,30,2023
P237,Product 237,2023-02-01,89,2023
P238,Product 238,2023-02-01,146,2023
P239,Product 239,2023-02-01,150,2023
P240,Product 240,2023-02-01,38,2023
P241,Product 241,2023-02-01,38,2023
P242,Product 242,2023-02-01,111,2023
P243,Product 243,2023-02-01,91,2023
P244,Product 244,2023-02-01,38,2023
P245,Product 245,2023-02-01,36,2023
P246,Product 246,2023-02-01,57,2023
P247,Product 247,2023-02-01,56,2023
P248,Product 248,2023-02-01,444,2023
P249,Product 249,2023-02-01,105,2023
P250,Product 250,2023-02-01,42,2023
P001,Product 001,2023-03-01,43,2023
P002,Product 002,2023-03-01,34,2023
P003,Product 003,2023-03-01,68,2023
P004,Product 004,2023-03-01,108,2023
P005,Product 005,2023-03-01,31,2023
P006,Product 006,2023-03-01,47,2023
P007,Product 007,2023-03-01,72,2023
P008,Product 008,2023-03-01,167,2023
P009,Product 009,2023-03-01,71,2023
P010,Product 010,2023-03-01,91,2023
P011,Product 011,2023-03-01,71,2023
P012,Product 012,2023-03-01,95,2023
P013,Product 013,2023-03-01,60,2023
P014,Product 014,2023-03-01,26,2023
P015,Product 015,2023-03-01,84,2023
P016,Product 016,2023-03-01,59,2023
P017,Product 017,2023-03-01,46,2023
P018,Product 018,2023-03-01,34,2023
P019,Product 019,2023-03-01,26,2023
P020,Product 020,2023-03-01,154,2023
P021,Product 021,2023-03-01,35,2023
P022,Product 022,2023-03-01,39,2023
P023,Product 023,2023-03-01,53,2023
P024,Product 024,2023-03-01,49,2023
P025,Product 025,2023-03-01,87,2023
P026,Product 026,2023-03-01,150,2023
P027,Product 027,2023-03-01,42,2023
P028,Product 028,2023-03-01,78,2023
P029,Product 029,2023-03-01,39,2023
P030,Product 030,2023-03-01,142,2023
P031,Product 031,2023-03-01,79,2023
P032,Product 032,2023-03-01,33,2023
P033,Product 033,2023-03-01,101,2023
P034,Product 034,2023-03-01,167,2023
P035,Product 035,2023-03-01,73,2023
P036,Product 036,2023-03-01,34,2023
P037,Product 037,2023-03-01,380,2023
P038,Product 038,2023-03-01,65,2023
P039,Product 039,2023-03-01,144,2023
P040,Product 040,2023-03-01,33,2023
P041,Product 041,2023-03-01,40,2023
P042,Product 042,2023-03-01,42,2023
P043,Product 043,2023-03-01,132,2023
P044,Product 044,2023-03-01,88,2023
P045,Product 045,2023-03-01,32,2023
P046,Product 046,2023-03-01,71,2023
P047,Product 047,2023-03-01,57,2023
P048,Product 048,2023-03-01,87,2023
P049,Product 049,2023-03-01,70,2023
P050,Product 050,2023-03-01,38,2023
P051,Product 051,2023-03-01,35,2023
P052,Product 052,2023-03-01,45,2023
P053,Product 053,2023-03-01,75,2023
P054,Product 054,2023-03-01,59,2023
P055,Product 055,2023-03-01,62,2023
P056,Product 056,2023-03-01,531,2023
P057,Product 057,2023-03-01,67,2023
P058,Product 058,2023-03-01,152,2023
P059,Product 059,2023-03-01,57,2023
P060,Product 060,2023-03-01,173,2023
P061,Product 061,2023-03-01,39,2023
P062,Product 062,2023-03-01,41,2023
P063,Product 063,2023-03-01,122,2023
P064,Product 064,2023-03-01,52,2023
P065,Product 065,2023-03-01,103,2023
P066,Product 066,2023-03-01,116,2023
P067,Product 067,2023-03-01,127,2023
P068,Product 068,2023-03-01,128,2023
P069,Product 069,2023-03-01,97,2023
P070,Product 070,2023-03-01,214,2023
P071,Product 071,2023-03-01,112,2023
P072,Product 072,2023-03-01,163,2023
P073,Product 073,2023-03-01,49,2023
P074,Product 074,2023-03-01,43,2023
P075,Product 075,2023-03-01,43,2023
P076,Product 076,2023-03-01,83,2023
P077,Product 077,2023-03-01,26,2023
P078,Product 078,2023-03-01,53,2023
P079,Product 079,2023-03-01,47,2023
P080,Product 080,2023-03-01,51,2023
P081,Product 081,2023-03-01,31,2023
P082,Product 082,2023-03-01,117,2023
P083,Product 083,2023-03-01,81,2023
P084,Product 084,2023-03-01,222,2023
P085,Product 085,2023-03-01,103,2023
P086,Product 086,2023-03-01,102,2023
P087,Product 087,2023-03-01,234,2023
P088,Product 088,2023-03-01,42,2023
P089,Product 089,2023-03-01,32,2023
P090,Product 090,2023-03-01,44,2023
P091,Product 091,2023-03-01,40,2023
P092,Product 092,2023-03-01,48,2023
P093,Product 093,2023-03-01,34,2023
P094,Product 094,2023-03-01,103,2023
P095,Product 095,2023-03-01,98,2023
P096,Product 096,2023-03-01,69,2023
P097,Product 097,2023-03-01,99,2023
P098,Product 098,2023-03-01,62,2023
P099,Product 099,2023-03-01,36,2023
P100,Product 100,2023-03-01,66,2023
P101,Product 101,2023-03-01,64,2023
P102,Product 102,2023-03-01,338,2023
P103,Product 103,2023-03-01,108,2023
P104,Product 104,2023-03-01,115,2023
P105,Product 105,2023-03-01,34,2023
P106,Product 106,2023-03-01,56,2023
P107,Product 107,2023-03-01,36,2023
P108,Product 108,2023-03-01,69,2023
P109,Product 109,2023-03-01,111,2023
P110,Product 110,2023-03-01,69,2023
P111,Product 111,2023-03-01,154,2023
P112,Product 112,2023-03-01,49,2023
P113,Product 113,2023-03-01,27,2023
P114,Product 114,2023-03-01,79,2023
P115,Product 115,2023-03-01,62,2023
P116,Product 116,2023-03-01,92,2023
P117,Product 117,2023-03-01,77,2023
P118,Product 118,2023-03-01,83,2023
P119,Product 119,2023-03-01,31,2023
P120,Product 120,2023-03-01,46,2023
P121,Product 121,2023-03-01,54,2023
P122,Product 122,2023-03-01,56,2023
P123,Product 123,2023-03-01,51,2023
P124,Product 124,2023-03-01,70,2023
P125,Product 125,2023-03-01,110,2023
P126,Product 126,2023-03-01,38,2023
P127,Product 127,2023-03-01,124,2023
P128,Product 128,2023-03-01,101,2023
P129,Product 129,2023-03-01,85,2023
P130,Product 130,2023-03-01,26,2023
P131,Product 131,2023-03-01,96,2023
P132,Product 132,2023-03-01,46,2023
P133,Product 133,2023-03-01,89,2023
P134,Product 134,2023-03-01,213,2023
P135,Product 135,2023-03-01,165,2023
P136,Product 136,2023-03-01,73,2023
P137,Product 137,2023-03-01,67,2023
P138,Product 138,2023-03-01,293,2023
P139,Product 139,2023-03-01,37,2023
P140,Product 140,2023-03-01,26,2023
P141,Product 141,2023-03-01,61,2023
P142,Product 142,2023-03-01,105,2023
P143,Product 143,2023-03-01,98,2023
P144,Product 144,2023-03-01,137,2023
P145,Product 145,2023-03-01,34,2023
P146,Product 146,2023-03-01,32,2023
P147,Product 147,2023-03-01,36,2023
P148,Product 148,2023-03-01,105,2023
P149,Product 149,2023-03-01,53,2023
P150,Product 150,2023-03-01,218,2023
P151,Product 151,2023-03-01,58,2023
P152,Product 152,2023-03-01,24,2023
P153,Product 153,2023-03-01,79,2023
P154,Product 154,2023-03-01,42,2023
P155,Product 155,2023-03-01,123,2023
P156,Product 156,2023-03-01,49,2023
P157,Product 157,2023-03-01,81,2023
P158,Product 158,2023-03-01,86,2023
P159,Product 159,2023-03-01,62,2023
P160,Product 160,2023-03-01,65,2023
P161,Product 161,2023-03-01,22,2023
P162,Product 162,2023-03-01,70,2023
P163,Product 163,2023-03-01,83,2023
P164,Product 164,2023-03-01,176,2023
P165,Product 165,2023-03-01,41,2023
P166,Product 166,2023-03-01,85,2023
P167,Product 167,2023-03-01,72,2023
P168,Product 168,2023-03-01,107,2023
P169,Product 169,2023-03-01,69,2023
P170,Product 170,2023-03-01,27,2023
P171,Product 171,2023-03-01,154,2023
P172,Product 172,2023-03-01,58,2023
P173,Product 173,2023-03-01,153,2023
P174,Product 174,2023-03-01,158,2023
P175,Product 175,2023-03-01,47,2023
P176,Product 176,2023-03-01,78,2023
P177,Product 177,2023-03-01,499,2023
P178,Product 178,2023-03-01,83,2023
P179,Product 179,2023-03-01,53,2023
P180,Product 180,2023-03-01,32,2023
P181,Product 181,2023-03-01,136,2023
P182,Product 182,2023-03-01,81,2023
P183,Product 183,2023-03-01,58,2023
P184,Product 184,2023-03-01,74,2023
P185,Product 185,2023-03-01,83,2023
P186,Product 186,2023-03-01,31,2023
P187,Product 187,2023-03-01,99,2023
P188,Product 188,2023-03-01,170,2023
P189,Product 189,2023-03-01,361,2023
P190,Product 190,2023-03-01,64,2023
P191,Product 191,2023-03-01,97,2023
P192,Product 192,2023-03-01,155,2023
P193,Product 193,2023-03-01,67,2023
P194,Product 194,2023-03-01,98,2023
P195,Product 195,2023-03-01,44,2023
P196,Product 196,2023-03-01,33,2023
P197,Product 197,2023-03-01,97,2023
